path,area,service,status,suggested_area,suggested_service,suggested_status
ai-agent-mastery-main/7_Agent_Architecture/.claude/commands/execute-prp.md,,,,DevOps,PRP (Process Request Protocol),active
Processed/www_philschmid_de_cloud-attention_issue-9.md,,,,AI,"Hugging Face, DeepSeek AI, IBM Granite Code Models, Whisper model",active
Processed/Makefile.md,,,,,,
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_deploy-gptj-sagemaker_.md,,,,DevOps,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.01 Planning/KAM BIM Templates/Tender Review Checklist/12345-KAM-XX-XX-CL-X-00001_ TENDER RVIEW.md,,,,Architecture,BIM (Building Information Modeling),active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/BMS - SSE/2025.07.30 Control Enclosure location/Control enclosure locations (revised).md,,,,Architecture,,active
Processed/BIm/Tritex24-229/01-10-2025  Design/1.02 Inputs/Consulant - ARUP/1.01 Drawings & Documents/25.01.23 ICT Dwgs/SHS-ARUP-XX-01-DR-YI-5502 Rev 01.md,,,,Architecture,Architectural Drawings and Documentation,active
Processed/QF 4.1.12 Intruder Alarm.md,,,,Security,,complete
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_bloom-sagemaker-peft.md,,,,AI,"Amazon SageMaker, Hugging Face",active
Processed/QF 4.1.102 Fire Alarm - Roof Area 1-6.md,,,,Construction,,active
Archon/Knowledge/Synergyspanish/pages/checkout_synergyspanish_com_28-day-spanish-challenge-bundle-1-trial_ref_ga.md,,,,,,
Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_fine-tune-multimodal-llms-with-trl_.md,,,,AI,"accelerate, HuggingFaceH4, llava-hf",active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_fine-tune-flan-t5-peft.md,,,,AI,Natural Language Processing (NLP),active
Processed/www_revitapidocs_com_2024_.md,,,,Architecture,Revit API,active
Processed/Archon/Knowledge/Philschmid_De_-_Philipp-Schmid/code_examples/www_philschmid_de_getting-started-habana-gaudi_.md,,,,DevOps,"AWS CLI, EC2",active
